"SMILES","CASRN","EXTERNALID","N","NAME","ARTICLEID","PUBMEDID","PAGE","TABLE","logBB","UNIT {logBB}","logBB {measured, converted}","UNIT {logBB}","Tissue","Dataset","Species","VOC","Drug_Class","DataSetName","comment (chemical)"
"O=C1N2CCCC(O)C2=NC(C)=C1CCN3CCC(C4=NOC5=C4C=CC(F)=C5)CC3","-","-","24","9-OH Risperidone","A23","10554091","1515","1","-0.67","Log unit","-1.543","ln unit","Blood","","","","","",""
"CN1CC2C3=CC=CC(C)=C3OC4=CC=CC=C4C2(CC1)O","-","-","5","Beloxepin (Org4428)","A23","10554091","1515","1","0.82","Log unit","1.888","ln unit","Blood","","","","","",""
"NC(N1C2=C(C=CC3=C1C=CC=C3)C=CC=C2)=O","-","-","14","carbamazepine","A23","10554091","1515","1","0.0","Log unit","0.0","ln unit","Blood","","","","","",""
"ClC1=CC=C2N(C(NC2=C1)=O)C3CCN(CC3)CCCN4C(NC5=CC=CC=C45)=O","-","-","21","domperidone","A23","10554091","1515","1","-0.78","Log unit","-1.796","ln unit","Blood","","","","","",""
"CN1CCN2C(C3=CC=CC=C3CC4=CC=CC=C24)C1","-","-","3","Mianserin","A23","10554091","1515","1","0.99","Log unit","2.28","ln unit","Blood","","","","","",""
"CN1CCN2C(C3=CC=CC=C3CC4=CC=CN=C24)C1","-","-","11","Mirtazapine","A23","10554091","1515","1","0.53","Log unit","1.22","ln unit","Blood","","","","","",""
"O=C1N(CCCCN2CCN(C3=CC(C(F)(F)F)=CC=N3)CC2)CCC1","-","-","8","Org13011","A23","10554091","1515","1","0.16","Log unit","0.3684","ln unit","Blood","","","","","",""
"ClC1=CC2=C(C=C1)OC3=C(C=CC=C3)C4C2CNC4","-","-","10","Org30526","A23","10554091","1515","1","0.39","Log unit","0.898","ln unit","Blood","","","","","",""
"OC12C3=C(C=CC=C3)OC4=C(C=CC=C4C)C1CNCC2","-","-","9","Org32104","A23","10554091","1515","1","0.52","Log unit","1.197","ln unit","Blood","","","","","",""
"C=CCC(N)C=1C=CC=CC1C2=NOC3=C2C=CC=C3","-","-","23","Org34167","A23","10554091","1515","1","0.0","Log unit","0.0","ln unit","Blood","","","","","",""
"CN1CC2C(C3=C(OC4=C2C=CC=C4)C=CC(Cl)=C3)C1","-","-","6","Org5222","A23","10554091","1515","1","1.03","Log unit","2.372","ln unit","Blood","","","","","",""
"CC=1N=C2CCCCN2C(C1CCN3CCC(C4=NOC5=C4C=CC(F)=C5)CC3)=O","-","-","23","Risperidone","A23","10554091","1515","1","-0.02","Log unit","-0.04605","ln unit","Blood","","","","","",""
"CC1=CC(N(N1C)C2=CC=CC=C2)=O","-","-","78","Antipyrine","A24","15068364","651","3","-0.1","Log unit","-0.2303","ln unit","","Test","","","","",""
"ClCCNC(N(N=O)CCCl)=O","-","-","93","BCNU","A24","15068364","651","3","-0.52","Log unit","-1.197","ln unit","","Test","","","","",""
"CNC(OC1=CC=C2N(C3N(CCC3(C2=C1)C)C)C)=O","-","-","95","physostigmine","A24","15068364","651","3","0.08","Log unit","0.1842","ln unit","","Test","","","","",""
"CC(C)(C)OC(=O)CCCC1=CC=C(N(CCCl)CCCl)C=C1","-","-","96","tert butyl chlorambucil","A24","15068364","651","3","1.0","Log unit","2.303","ln unit","","Test","","","","",""
"CNCCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2","-","-","101","Desipramine","A25","15781411","4","mmc1","1.0","Log unit","2.303","ln unit","","Test 2","","","","",""
"CN(C)C1=CC(C2=NNC(N)=N2)=CC=N1","-","-","11","BBCPD10","A25","15781411","1","mmc1","-1.17","Log unit","-2.694","ln unit","","Train","","","","",""
"O=N(=O)C=1C=CNC1NCCSCC2=NC=CC=C2Br","-","-","13","BBCPD12","A25","15781411","1","mmc1","-0.67","Log unit","-1.543","ln unit","","Train","","","","",""
"O=N(C=1C=CNC1NCCSCC2=NC=CC=C2)=O","-","-","14","BBCPD13","A25","15781411","3021","2","-0.66","Log unit","-1.52","ln unit","","","","","","",""
"O=N(=O)C=1C(=CNC1NCCSCC=2C=CC=CN2)CC3=CC=CC=C3","-","-","15","BBCPD14","A25","15781411","1","mmc1","-0.12","Log unit","-0.2763","ln unit","","Train","","","","",""
"NC(N)=NC1=NC(C2=CC=CC=C2)=CS1","-","-","16","BBCPD15","A25","15781411","1","mmc1","-0.18","Log unit","-0.4145","ln unit","","Train","","","","",""
"NC(N)=NC1=NC(C2=CC=CC(N)=C2)=CS1","-","-","17","BBCPD57","A25","15781411","1","mmc1","-1.15","Log unit","-2.648","ln unit","","Train","","","","",""
"NC(N)=NC1=NC(C2=CC=CC(NC(C)=O)=C2)=CS1","-","-","18","BBCPD16","A25","15781411","1","mmc1","-1.57","Log unit","-3.615","ln unit","","Train","","","","",""
